,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end
155,3:57:48 AM,8:49:27 PM,12:23:37 PM,16:51:39,3:09:32 AM,9:37:42 PM,1:45:33 AM,11:01:42 PM,12:00:01 AM,12:00:01 AM
156,3:57:09 AM,8:50:27 PM,12:23:48 PM,16:53:18,3:08:41 AM,9:38:55 PM,1:43:40 AM,11:03:57 PM,12:00:01 AM,12:00:01 AM
157,3:56:35 AM,8:51:24 PM,12:23:59 PM,16:54:49,3:07:54 AM,9:40:04 PM,1:41:52 AM,11:06:07 PM,12:00:01 AM,12:00:01 AM
158,3:56:03 AM,8:52:18 PM,12:24:11 PM,16:56:15,3:07:11 AM,9:41:11 PM,1:40:09 AM,11:08:12 PM,12:00:01 AM,12:00:01 AM
159,3:55:35 AM,8:53:10 PM,12:24:23 PM,16:57:35,3:06:32 AM,9:42:13 PM,1:38:33 AM,11:10:12 PM,12:00:01 AM,12:00:01 AM
160,3:55:10 AM,8:53:59 PM,12:24:35 PM,16:58:49,3:05:57 AM,9:43:12 PM,1:37:04 AM,11:12:05 PM,12:00:01 AM,12:00:01 AM
161,3:54:49 AM,8:54:45 PM,12:24:47 PM,16:59:56,3:05:26 AM,9:44:07 PM,1:35:41 AM,11:13:52 PM,12:00:01 AM,12:00:01 AM
162,3:54:31 AM,8:55:27 PM,12:24:59 PM,17:00:56,3:05:00 AM,9:44:59 PM,1:34:26 AM,11:15:32 PM,12:00:01 AM,12:00:01 AM
163,3:54:16 AM,8:56:07 PM,12:25:12 PM,17:01:51,3:04:37 AM,9:45:46 PM,1:33:20 AM,11:17:04 PM,12:00:01 AM,12:00:01 AM
164,3:54:05 AM,8:56:44 PM,12:25:24 PM,17:02:39,3:04:19 AM,9:46:30 PM,1:32:21 AM,11:18:27 PM,12:00:01 AM,12:00:01 AM
165,3:53:57 AM,8:57:17 PM,12:25:37 PM,17:03:20,3:04:05 AM,9:47:09 PM,1:31:32 AM,11:19:42 PM,12:00:01 AM,12:00:01 AM
166,3:53:53 AM,8:57:47 PM,12:25:50 PM,17:03:54,3:03:56 AM,9:47:44 PM,1:30:52 AM,11:20:48 PM,12:00:01 AM,12:00:01 AM
167,3:53:52 AM,8:58:14 PM,12:26:03 PM,17:04:22,3:03:51 AM,9:48:15 PM,1:30:22 AM,11:21:44 PM,12:00:01 AM,12:00:01 AM
168,3:53:55 AM,8:58:38 PM,12:26:16 PM,17:04:43,3:03:51 AM,9:48:42 PM,1:30:02 AM,11:22:30 PM,12:00:01 AM,12:00:01 AM
169,3:54:01 AM,8:58:58 PM,12:26:29 PM,17:04:57,3:03:54 AM,9:49:04 PM,1:29:53 AM,11:23:06 PM,12:00:01 AM,12:00:01 AM
170,3:54:10 AM,8:59:15 PM,12:26:42 PM,17:05:05,3:04:03 AM,9:49:22 PM,1:29:54 AM,11:23:31 PM,12:00:01 AM,12:00:01 AM
171,3:54:23 AM,8:59:28 PM,12:26:55 PM,17:05:05,3:04:15 AM,9:49:36 PM,1:30:06 AM,11:23:45 PM,12:00:01 AM,12:00:01 AM
172,3:54:39 AM,8:59:38 PM,12:27:08 PM,17:04:59,3:04:32 AM,9:49:45 PM,1:30:28 AM,11:23:49 PM,12:00:01 AM,12:00:01 AM
173,3:54:58 AM,8:59:45 PM,12:27:21 PM,17:04:47,3:04:53 AM,9:49:50 PM,1:31:01 AM,11:23:42 PM,12:00:01 AM,12:00:01 AM
174,3:55:20 AM,8:59:48 PM,12:27:34 PM,17:04:28,3:05:19 AM,9:49:50 PM,1:31:44 AM,11:23:24 PM,12:00:01 AM,12:00:01 AM
175,3:55:46 AM,8:59:48 PM,12:27:47 PM,17:04:02,3:05:48 AM,9:49:46 PM,1:32:38 AM,11:22:56 PM,12:00:01 AM,12:00:01 AM
176,3:56:15 AM,8:59:44 PM,12:28:00 PM,17:03:29,3:06:22 AM,9:49:37 PM,1:33:41 AM,11:22:18 PM,12:00:01 AM,12:00:01 AM
177,3:56:48 AM,8:59:37 PM,12:28:12 PM,17:02:49,3:07:00 AM,9:49:24 PM,1:34:53 AM,11:21:31 PM,12:00:01 AM,12:00:01 AM
178,3:57:23 AM,8:59:26 PM,12:28:24 PM,17:02:03,3:07:42 AM,9:49:07 PM,1:36:14 AM,11:20:35 PM,12:00:01 AM,12:00:01 AM
179,3:58:01 AM,8:59:12 PM,12:28:36 PM,17:01:11,3:08:28 AM,9:48:45 PM,1:37:43 AM,11:19:29 PM,12:00:01 AM,12:00:01 AM
180,3:58:43 AM,8:58:54 PM,12:28:48 PM,17:00:11,3:09:18 AM,9:48:19 PM,1:39:20 AM,11:18:16 PM,12:00:01 AM,12:00:01 AM
181,3:59:27 AM,8:58:33 PM,12:29:00 PM,16:59:06,3:10:11 AM,9:47:49 PM,1:41:05 AM,11:16:55 PM,12:00:01 AM,12:00:01 AM
182,4:00:14 AM,8:58:08 PM,12:29:11 PM,16:57:54,3:11:08 AM,9:47:14 PM,1:42:56 AM,11:15:27 PM,12:00:01 AM,12:00:01 AM
183,4:01:04 AM,8:57:40 PM,12:29:22 PM,16:56:36,3:12:09 AM,9:46:36 PM,1:44:53 AM,11:13:52 PM,12:00:01 AM,12:00:01 AM
184,4:01:57 AM,8:57:09 PM,12:29:33 PM,16:55:12,3:13:13 AM,9:45:53 PM,1:46:55 AM,11:12:11 PM,12:00:01 AM,12:00:01 AM
185,4:02:53 AM,8:56:34 PM,12:29:43 PM,16:53:41,3:14:21 AM,9:45:06 PM,1:49:03 AM,11:10:24 PM,12:00:01 AM,12:00:01 AM
186,4:03:51 AM,8:55:56 PM,12:29:53 PM,16:52:05,3:15:32 AM,9:44:15 PM,1:51:15 AM,11:08:32 PM,12:00:01 AM,12:00:01 AM
187,4:04:51 AM,8:55:15 PM,12:30:03 PM,16:50:24,3:16:46 AM,9:43:21 PM,1:53:32 AM,11:06:35 PM,12:00:01 AM,12:00:01 AM
188,4:05:54 AM,8:54:31 PM,12:30:12 PM,16:48:37,3:18:03 AM,9:42:22 PM,1:55:52 AM,11:04:33 PM,12:00:01 AM,12:00:01 AM
189,4:07:00 AM,8:53:43 PM,12:30:21 PM,16:46:43,3:19:22 AM,9:41:20 PM,1:58:16 AM,11:02:27 PM,12:00:01 AM,12:00:01 AM
190,4:08:07 AM,8:52:52 PM,12:30:30 PM,16:44:45,3:20:45 AM,9:40:15 PM,2:00:42 AM,11:00:17 PM,12:00:01 AM,12:00:01 AM
191,4:09:17 AM,8:51:58 PM,12:30:38 PM,16:42:41,3:22:10 AM,9:39:05 PM,2:03:11 AM,10:58:04 PM,12:00:01 AM,12:00:01 AM
192,4:10:29 AM,8:51:01 PM,12:30:45 PM,16:40:32,3:23:38 AM,9:37:53 PM,2:05:43 AM,10:55:48 PM,12:00:01 AM,12:00:01 AM
193,4:11:43 AM,8:50:02 PM,12:30:52 PM,16:38:19,3:25:08 AM,9:36:37 PM,2:08:17 AM,10:53:28 PM,12:00:01 AM,12:00:01 AM
194,4:13:00 AM,8:48:59 PM,12:30:59 PM,16:35:59,3:26:41 AM,9:35:17 PM,2:10:52 AM,10:51:06 PM,12:00:01 AM,12:00:01 AM
195,4:14:18 AM,8:47:53 PM,12:31:05 PM,16:33:35,3:28:16 AM,9:33:55 PM,2:13:29 AM,10:48:41 PM,12:00:01 AM,12:00:01 AM
196,4:15:37 AM,8:46:44 PM,12:31:11 PM,16:31:07,3:29:52 AM,9:32:29 PM,2:16:07 AM,10:46:14 PM,12:00:01 AM,12:00:01 AM
197,4:16:59 AM,8:45:33 PM,12:31:16 PM,16:28:34,3:31:31 AM,9:31:01 PM,2:18:47 AM,10:43:45 PM,12:00:01 AM,12:00:01 AM
198,4:18:22 AM,8:44:19 PM,12:31:20 PM,16:25:57,3:33:11 AM,9:29:29 PM,2:21:27 AM,10:41:14 PM,12:00:01 AM,12:00:01 AM
199,4:19:47 AM,8:43:02 PM,12:31:24 PM,16:23:15,3:34:54 AM,9:27:55 PM,2:24:08 AM,10:38:41 PM,12:00:01 AM,12:00:01 AM
200,4:21:13 AM,8:41:43 PM,12:31:28 PM,16:20:30,3:36:37 AM,9:26:18 PM,2:26:49 AM,10:36:07 PM,12:00:01 AM,12:00:01 AM
201,4:22:41 AM,8:40:21 PM,12:31:31 PM,16:17:40,3:38:23 AM,9:24:39 PM,2:29:31 AM,10:33:31 PM,12:00:01 AM,12:00:01 AM
202,4:24:10 AM,8:38:56 PM,12:31:33 PM,16:14:46,3:40:09 AM,9:22:57 PM,2:32:13 AM,10:30:53 PM,12:00:01 AM,12:00:01 AM
203,4:25:40 AM,8:37:29 PM,12:31:35 PM,16:11:49,3:41:57 AM,9:21:12 PM,2:34:55 AM,10:28:14 PM,12:00:01 AM,12:00:01 AM
204,4:27:12 AM,8:36:00 PM,12:31:36 PM,16:08:48,3:43:47 AM,9:19:26 PM,2:37:38 AM,10:25:34 PM,12:00:01 AM,12:00:01 AM
205,4:28:44 AM,8:34:29 PM,12:31:37 PM,16:05:45,3:45:37 AM,9:17:36 PM,2:40:20 AM,10:22:53 PM,12:00:01 AM,12:00:01 AM
206,4:30:18 AM,8:32:55 PM,12:31:37 PM,16:02:37,3:47:28 AM,9:15:45 PM,2:43:02 AM,10:20:11 PM,12:00:01 AM,12:00:01 AM
207,4:31:53 AM,8:31:19 PM,12:31:36 PM,15:59:26,3:49:20 AM,9:13:52 PM,2:45:43 AM,10:17:28 PM,12:00:01 AM,12:00:01 AM
208,4:33:29 AM,8:29:41 PM,12:31:35 PM,15:56:12,3:51:13 AM,9:11:56 PM,2:48:25 AM,10:14:45 PM,12:00:01 AM,12:00:01 AM
209,4:35:05 AM,8:28:00 PM,12:31:33 PM,15:52:55,3:53:07 AM,9:09:59 PM,2:51:06 AM,10:12:00 PM,12:41:42 AM,12:21:24 AM
210,4:36:43 AM,8:26:18 PM,12:31:30 PM,15:49:35,3:55:01 AM,9:07:59 PM,2:53:46 AM,10:09:15 PM,1:00:38 AM,12:02:23 AM
211,4:38:21 AM,8:24:34 PM,12:31:27 PM,15:46:13,3:56:56 AM,9:05:58 PM,2:56:26 AM,10:06:29 PM,1:11:32 AM,11:51:22 PM
212,4:40:00 AM,8:22:48 PM,12:31:24 PM,15:42:48,3:58:52 AM,9:03:56 PM,2:59:05 AM,10:03:43 PM,1:20:10 AM,11:42:37 PM
213,4:41:39 AM,8:21:00 PM,12:31:19 PM,15:39:21,4:00:48 AM,9:01:51 PM,3:01:43 AM,10:00:56 PM,1:27:35 AM,11:35:04 PM
214,4:43:19 AM,8:19:10 PM,12:31:15 PM,15:35:51,4:02:44 AM,8:59:45 PM,3:04:21 AM,9:58:08 PM,1:34:12 AM,11:28:17 PM
215,4:45:00 AM,8:17:18 PM,12:31:09 PM,15:32:18,4:04:41 AM,8:57:37 PM,3:06:58 AM,9:55:20 PM,1:40:16 AM,11:22:02 PM
216,4:46:41 AM,8:15:25 PM,12:31:03 PM,15:28:44,4:06:38 AM,8:55:28 PM,3:09:34 AM,9:52:32 PM,1:45:53 AM,11:16:12 PM
217,4:48:22 AM,8:13:30 PM,12:30:56 PM,15:25:08,4:08:35 AM,8:53:18 PM,3:12:09 AM,9:49:44 PM,1:51:11 AM,11:10:42 PM
218,4:50:04 AM,8:11:33 PM,12:30:49 PM,15:21:29,4:10:32 AM,8:51:06 PM,3:14:43 AM,9:46:55 PM,1:56:11 AM,11:05:27 PM
219,4:51:47 AM,8:09:35 PM,12:30:41 PM,15:17:48,4:12:30 AM,8:48:53 PM,3:17:16 AM,9:44:06 PM,2:00:57 AM,11:00:25 PM
220,4:53:30 AM,8:07:36 PM,12:30:33 PM,15:14:06,4:14:27 AM,8:46:38 PM,3:19:49 AM,9:41:16 PM,2:05:31 AM,10:55:34 PM
221,4:55:12 AM,8:05:35 PM,12:30:24 PM,15:10:23,4:16:25 AM,8:44:23 PM,3:22:20 AM,9:38:27 PM,2:09:54 AM,10:50:53 PM
222,4:56:56 AM,8:03:32 PM,12:30:14 PM,15:06:36,4:18:22 AM,8:42:06 PM,3:24:51 AM,9:35:37 PM,2:14:08 AM,10:46:20 PM
223,4:58:39 AM,8:01:29 PM,12:30:04 PM,15:02:50,4:20:20 AM,8:39:48 PM,3:27:20 AM,9:32:48 PM,2:18:14 AM,10:41:54 PM
224,5:00:23 AM,7:59:24 PM,12:29:53 PM,14:59:01,4:22:17 AM,8:37:29 PM,3:29:49 AM,9:29:58 PM,2:22:12 AM,10:37:34 PM
225,5:02:07 AM,7:57:17 PM,12:29:42 PM,14:55:10,4:24:14 AM,8:35:10 PM,3:32:16 AM,9:27:08 PM,2:26:04 AM,10:33:20 PM
226,5:03:51 AM,7:55:10 PM,12:29:30 PM,14:51:19,4:26:11 AM,8:32:49 PM,3:34:42 AM,9:24:18 PM,2:29:49 AM,10:29:11 PM
227,5:05:35 AM,7:53:01 PM,12:29:18 PM,14:47:26,4:28:08 AM,8:30:27 PM,3:37:08 AM,9:21:28 PM,2:33:28 AM,10:25:07 PM
228,5:07:19 AM,7:50:51 PM,12:29:05 PM,14:43:32,4:30:05 AM,8:28:05 PM,3:39:32 AM,9:18:38 PM,2:37:02 AM,10:21:08 PM
229,5:09:03 AM,7:48:40 PM,12:28:52 PM,14:39:37,4:32:01 AM,8:25:42 PM,3:41:55 AM,9:15:48 PM,2:40:31 AM,10:17:12 PM
230,5:10:47 AM,7:46:28 PM,12:28:38 PM,14:35:41,4:33:58 AM,8:23:18 PM,3:44:17 AM,9:12:58 PM,2:43:56 AM,10:13:20 PM
231,5:12:32 AM,7:44:15 PM,12:28:23 PM,14:31:43,4:35:54 AM,8:20:53 PM,3:46:38 AM,9:10:09 PM,2:47:16 AM,10:09:31 PM
232,5:14:16 AM,7:42:01 PM,12:28:09 PM,14:27:45,4:37:49 AM,8:18:28 PM,3:48:58 AM,9:07:19 PM,2:50:32 AM,10:05:45 PM
233,5:16:00 AM,7:39:46 PM,12:27:53 PM,14:23:46,4:39:45 AM,8:16:02 PM,3:51:17 AM,9:04:29 PM,2:53:44 AM,10:02:03 PM
234,5:17:45 AM,7:37:31 PM,12:27:38 PM,14:19:46,4:41:40 AM,8:13:36 PM,3:53:35 AM,9:01:40 PM,2:56:53 AM,9:58:23 PM
235,5:19:29 AM,7:35:14 PM,12:27:22 PM,14:15:45,4:43:35 AM,8:11:09 PM,3:55:52 AM,8:58:51 PM,2:59:57 AM,9:54:46 PM
236,5:21:13 AM,7:32:57 PM,12:27:05 PM,14:11:44,4:45:29 AM,8:08:41 PM,3:58:08 AM,8:56:02 PM,3:02:59 AM,9:51:11 PM
237,5:22:58 AM,7:30:38 PM,12:26:48 PM,14:07:40,4:47:23 AM,8:06:13 PM,4:00:23 AM,8:53:13 PM,3:05:58 AM,9:47:39 PM
238,5:24:42 AM,7:28:20 PM,12:26:31 PM,14:03:38,4:49:17 AM,8:03:45 PM,4:02:37 AM,8:50:25 PM,3:08:53 AM,9:44:09 PM
239,5:26:26 AM,7:26:00 PM,12:26:13 PM,13:59:34,4:51:10 AM,8:01:16 PM,4:04:50 AM,8:47:37 PM,3:11:46 AM,9:40:41 PM
240,5:28:10 AM,7:23:40 PM,12:25:55 PM,13:55:30,4:53:04 AM,7:58:47 PM,4:07:02 AM,8:44:49 PM,3:14:35 AM,9:37:15 PM
241,5:29:55 AM,7:21:19 PM,12:25:37 PM,13:51:24,4:54:56 AM,7:56:17 PM,4:09:12 AM,8:42:01 PM,3:17:23 AM,9:33:51 PM
242,5:31:39 AM,7:18:57 PM,12:25:18 PM,13:47:18,4:56:49 AM,7:53:47 PM,4:11:22 AM,8:39:14 PM,3:20:07 AM,9:30:29 PM
243,5:33:23 AM,7:16:35 PM,12:24:59 PM,13:43:12,4:58:41 AM,7:51:17 PM,4:13:31 AM,8:36:27 PM,3:22:49 AM,9:27:09 PM
244,5:35:07 AM,7:14:13 PM,12:24:40 PM,13:39:06,5:00:32 AM,7:48:47 PM,4:15:39 AM,8:33:40 PM,3:25:29 AM,9:23:50 PM
245,5:36:50 AM,7:11:50 PM,12:24:20 PM,13:35:00,5:02:24 AM,7:46:16 PM,4:17:46 AM,8:30:54 PM,3:28:07 AM,9:20:34 PM
246,5:38:34 AM,7:09:26 PM,12:24:00 PM,13:30:52,5:04:15 AM,7:43:46 PM,4:19:53 AM,8:28:08 PM,3:30:42 AM,9:17:19 PM
247,5:40:18 AM,7:07:02 PM,12:23:40 PM,13:26:44,5:06:06 AM,7:41:15 PM,4:21:58 AM,8:25:22 PM,3:33:15 AM,9:14:05 PM
248,5:42:02 AM,7:04:38 PM,12:23:20 PM,13:22:36,5:07:56 AM,7:38:44 PM,4:24:02 AM,8:22:37 PM,3:35:46 AM,9:10:53 PM
249,5:43:46 AM,7:02:13 PM,12:22:59 PM,13:18:27,5:09:46 AM,7:36:13 PM,4:26:06 AM,8:19:53 PM,3:38:15 AM,9:07:43 PM
250,5:45:29 AM,6:59:48 PM,12:22:39 PM,13:14:19,5:11:36 AM,7:33:42 PM,4:28:09 AM,8:17:09 PM,3:40:43 AM,9:04:35 PM
251,5:47:13 AM,6:57:23 PM,12:22:18 PM,13:10:10,5:13:25 AM,7:31:11 PM,4:30:11 AM,8:14:25 PM,3:43:08 AM,9:01:27 PM
252,5:48:57 AM,6:54:57 PM,12:21:57 PM,13:06:00,5:15:14 AM,7:28:39 PM,4:32:12 AM,8:11:42 PM,3:45:32 AM,8:58:22 PM
253,5:50:41 AM,6:52:31 PM,12:21:36 PM,13:01:50,5:17:03 AM,7:26:08 PM,4:34:12 AM,8:08:59 PM,3:47:54 AM,8:55:18 PM
254,5:52:24 AM,6:50:05 PM,12:21:15 PM,12:57:41,5:18:52 AM,7:23:37 PM,4:36:12 AM,8:06:17 PM,3:50:14 AM,8:52:15 PM
255,5:54:08 AM,6:47:38 PM,12:20:53 PM,12:53:30,5:20:40 AM,7:21:06 PM,4:38:11 AM,8:03:35 PM,3:52:33 AM,8:49:14 PM
256,5:55:52 AM,6:45:12 PM,12:20:32 PM,12:49:20,5:22:28 AM,7:18:36 PM,4:40:09 AM,8:00:55 PM,3:54:50 AM,8:46:14 PM
257,5:57:36 AM,6:42:45 PM,12:20:10 PM,12:45:09,5:24:16 AM,7:16:05 PM,4:42:07 AM,7:58:14 PM,3:57:06 AM,8:43:15 PM
258,5:59:20 AM,6:40:19 PM,12:19:49 PM,12:40:59,5:26:04 AM,7:13:35 PM,4:44:04 AM,7:55:34 PM,3:59:20 AM,8:40:18 PM
259,6:01:03 AM,6:37:52 PM,12:19:28 PM,12:36:49,5:27:51 AM,7:11:04 PM,4:46:00 AM,7:52:55 PM,4:01:33 AM,8:37:22 PM
260,6:02:47 AM,6:35:25 PM,12:19:06 PM,12:32:38,5:29:38 AM,7:08:34 PM,4:47:55 AM,7:50:17 PM,4:03:44 AM,8:34:28 PM
261,6:04:32 AM,6:32:58 PM,12:18:45 PM,12:28:26,5:31:25 AM,7:06:04 PM,4:49:50 AM,7:47:39 PM,4:05:55 AM,8:31:35 PM
262,6:06:16 AM,6:30:31 PM,12:18:23 PM,12:24:15,5:33:12 AM,7:03:35 PM,4:51:45 AM,7:45:02 PM,4:08:04 AM,8:28:43 PM
263,6:08:00 AM,6:28:04 PM,12:18:02 PM,12:20:04,5:34:59 AM,7:01:06 PM,4:53:39 AM,7:42:26 PM,4:10:11 AM,8:25:53 PM
264,6:09:44 AM,6:25:38 PM,12:17:41 PM,12:15:54,5:36:45 AM,6:58:37 PM,4:55:32 AM,7:39:50 PM,4:12:18 AM,8:23:04 PM
265,6:11:29 AM,6:23:11 PM,12:17:20 PM,12:11:42,5:38:32 AM,6:56:08 PM,4:57:25 AM,7:37:15 PM,4:14:23 AM,8:20:17 PM
266,6:13:13 AM,6:20:45 PM,12:16:59 PM,12:07:32,5:40:18 AM,6:53:40 PM,4:59:17 AM,7:34:41 PM,4:16:28 AM,8:17:30 PM
267,6:14:58 AM,6:18:18 PM,12:16:38 PM,12:03:20,5:42:04 AM,6:51:12 PM,5:01:08 AM,7:32:08 PM,4:18:31 AM,8:14:46 PM
268,6:16:43 AM,6:15:52 PM,12:16:18 PM,11:59:09,5:43:50 AM,6:48:45 PM,5:03:00 AM,7:29:36 PM,4:20:33 AM,8:12:02 PM
269,6:18:28 AM,6:13:26 PM,12:15:57 PM,11:54:58,5:45:36 AM,6:46:18 PM,5:04:50 AM,7:27:04 PM,4:22:34 AM,8:09:20 PM
270,6:20:14 AM,6:11:00 PM,12:15:37 PM,11:50:46,5:47:22 AM,6:43:52 PM,5:06:41 AM,7:24:33 PM,4:24:34 AM,8:06:40 PM
271,6:21:59 AM,6:08:35 PM,12:15:17 PM,11:46:36,5:49:08 AM,6:41:26 PM,5:08:31 AM,7:22:03 PM,4:26:34 AM,8:04:00 PM
272,6:23:45 AM,6:06:10 PM,12:14:57 PM,11:42:25,5:50:54 AM,6:39:01 PM,5:10:20 AM,7:19:35 PM,4:28:32 AM,8:01:23 PM
273,6:25:31 AM,6:03:45 PM,12:14:38 PM,11:38:14,5:52:39 AM,6:36:37 PM,5:12:09 AM,7:17:07 PM,4:30:30 AM,7:58:46 PM
274,6:27:17 AM,6:01:21 PM,12:14:19 PM,11:34:04,5:54:25 AM,6:34:13 PM,5:13:58 AM,7:14:40 PM,4:32:26 AM,7:56:11 PM
275,6:29:04 AM,5:58:57 PM,12:14:00 PM,11:29:53,5:56:11 AM,6:31:49 PM,5:15:47 AM,7:12:14 PM,4:34:22 AM,7:53:38 PM
276,6:30:50 AM,5:56:33 PM,12:13:42 PM,11:25:43,5:57:57 AM,6:29:27 PM,5:17:35 AM,7:09:49 PM,4:36:17 AM,7:51:06 PM
277,6:32:37 AM,5:54:10 PM,12:13:24 PM,11:21:33,5:59:42 AM,6:27:05 PM,5:19:22 AM,7:07:25 PM,4:38:12 AM,7:48:35 PM
278,6:34:24 AM,5:51:47 PM,12:13:06 PM,11:17:23,6:01:28 AM,6:24:44 PM,5:21:10 AM,7:05:02 PM,4:40:05 AM,7:46:06 PM
279,6:36:12 AM,5:49:25 PM,12:12:48 PM,11:13:13,6:03:14 AM,6:22:23 PM,5:22:57 AM,7:02:40 PM,4:41:58 AM,7:43:39 PM
280,6:38:00 AM,5:47:03 PM,12:12:32 PM,11:09:03,6:05:00 AM,6:20:03 PM,5:24:44 AM,7:00:19 PM,4:43:51 AM,7:41:13 PM
281,6:39:48 AM,5:44:42 PM,12:12:15 PM,11:04:54,6:06:46 AM,6:17:45 PM,5:26:31 AM,6:58:00 PM,4:45:42 AM,7:38:48 PM
282,6:41:36 AM,5:42:22 PM,12:11:59 PM,11:00:46,6:08:32 AM,6:15:27 PM,5:28:17 AM,6:55:41 PM,4:47:33 AM,7:36:25 PM
283,6:43:25 AM,5:40:02 PM,12:11:44 PM,10:56:37,6:10:17 AM,6:13:10 PM,5:30:03 AM,6:53:24 PM,4:49:24 AM,7:34:04 PM
284,6:45:14 AM,5:37:43 PM,12:11:29 PM,10:52:29,6:12:03 AM,6:10:54 PM,5:31:49 AM,6:51:08 PM,4:51:13 AM,7:31:44 PM
285,6:47:03 AM,5:35:25 PM,12:11:14 PM,10:48:22,6:13:50 AM,6:08:39 PM,5:33:35 AM,6:48:53 PM,4:53:02 AM,7:29:26 PM
286,6:48:53 AM,5:33:08 PM,12:11:00 PM,10:44:15,6:15:36 AM,6:06:24 PM,5:35:20 AM,6:46:40 PM,4:54:51 AM,7:27:09 PM
287,6:50:42 AM,5:30:51 PM,12:10:47 PM,10:40:09,6:17:22 AM,6:04:11 PM,5:37:05 AM,6:44:28 PM,4:56:39 AM,7:24:54 PM
288,6:52:33 AM,5:28:35 PM,12:10:34 PM,10:36:02,6:19:08 AM,6:01:59 PM,5:38:50 AM,6:42:17 PM,4:58:27 AM,7:22:41 PM
289,6:54:23 AM,5:26:20 PM,12:10:21 PM,10:31:57,6:20:55 AM,5:59:48 PM,5:40:35 AM,6:40:08 PM,5:00:14 AM,7:20:29 PM
290,6:56:14 AM,5:24:06 PM,12:10:10 PM,10:27:52,6:22:41 AM,5:57:39 PM,5:42:20 AM,6:38:00 PM,5:02:00 AM,7:18:19 PM
291,6:58:05 AM,5:21:53 PM,12:09:59 PM,10:23:48,6:24:27 AM,5:55:30 PM,5:44:04 AM,6:35:53 PM,5:03:46 AM,7:16:11 PM
292,6:59:56 AM,5:19:41 PM,12:09:48 PM,10:19:45,6:26:14 AM,5:53:23 PM,5:45:48 AM,6:33:48 PM,5:05:31 AM,7:14:05 PM
293,7:01:48 AM,5:17:29 PM,12:09:39 PM,10:15:41,6:28:01 AM,5:51:16 PM,5:47:32 AM,6:31:45 PM,5:07:16 AM,7:12:01 PM
294,7:03:39 AM,5:15:19 PM,12:09:29 PM,10:11:40,6:29:47 AM,5:49:12 PM,5:49:16 AM,6:29:43 PM,5:09:01 AM,7:09:58 PM
295,7:05:32 AM,5:13:10 PM,12:09:21 PM,10:07:38,6:31:34 AM,5:47:08 PM,5:51:00 AM,6:27:42 PM,5:10:45 AM,7:07:57 PM
296,7:07:24 AM,5:11:03 PM,12:09:13 PM,10:03:39,6:33:21 AM,5:45:06 PM,5:52:43 AM,6:25:44 PM,5:12:29 AM,7:05:58 PM
297,7:09:16 AM,5:08:56 PM,12:09:06 PM,09:59:40,6:35:07 AM,5:43:05 PM,5:54:26 AM,6:23:46 PM,5:14:12 AM,7:04:01 PM
298,7:11:09 AM,5:06:51 PM,12:09:00 PM,09:55:42,6:36:54 AM,5:41:06 PM,5:56:09 AM,6:21:51 PM,5:15:54 AM,7:02:06 PM
299,7:13:02 AM,5:04:47 PM,12:08:54 PM,09:51:45,6:38:41 AM,5:39:08 PM,5:57:52 AM,6:19:57 PM,5:17:36 AM,7:00:12 PM
300,7:14:55 AM,5:02:44 PM,12:08:50 PM,09:47:49,6:40:27 AM,5:37:12 PM,5:59:34 AM,6:18:05 PM,5:19:18 AM,6:58:21 PM
301,7:16:48 AM,5:00:43 PM,12:08:46 PM,09:43:55,6:42:14 AM,5:35:17 PM,6:01:16 AM,6:16:15 PM,5:20:59 AM,6:56:32 PM
302,7:18:42 AM,4:58:43 PM,12:08:42 PM,09:40:01,6:44:00 AM,5:33:24 PM,6:02:58 AM,6:14:26 PM,5:22:40 AM,6:54:45 PM
303,7:20:35 AM,4:56:44 PM,12:08:40 PM,09:36:09,6:45:47 AM,5:31:33 PM,6:04:40 AM,6:12:40 PM,5:24:20 AM,6:53:00 PM
304,7:22:29 AM,4:54:47 PM,12:08:38 PM,09:32:18,6:47:33 AM,5:29:43 PM,6:06:21 AM,6:10:55 PM,5:26:00 AM,6:51:17 PM
305,7:24:22 AM,4:52:52 PM,12:08:37 PM,09:28:30,6:49:19 AM,5:27:55 PM,6:08:02 AM,6:09:12 PM,5:27:39 AM,6:49:36 PM
306,7:26:16 AM,4:50:58 PM,12:08:37 PM,09:24:42,6:51:05 AM,5:26:09 PM,6:09:43 AM,6:07:32 PM,5:29:17 AM,6:47:57 PM
307,7:28:09 AM,4:49:06 PM,12:08:38 PM,09:20:57,6:52:51 AM,5:24:24 PM,6:11:23 AM,6:05:53 PM,5:30:55 AM,6:46:20 PM
308,7:30:03 AM,4:47:16 PM,12:08:39 PM,09:17:13,6:54:37 AM,5:22:42 PM,6:13:03 AM,6:04:16 PM,5:32:33 AM,6:44:46 PM
309,7:31:56 AM,4:45:28 PM,12:08:42 PM,09:13:32,6:56:22 AM,5:21:02 PM,6:14:42 AM,6:02:41 PM,5:34:10 AM,6:43:14 PM
310,7:33:49 AM,4:43:41 PM,12:08:45 PM,09:09:52,6:58:07 AM,5:19:23 PM,6:16:21 AM,6:01:09 PM,5:35:46 AM,6:41:44 PM
